Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Bulk carrier,5298,3182,872550.0,1611741.5,2009.9,2010.1,2010.7,2010.7,2843.6,4046.9,4210.8,4294.8,278.0,390.3,596.5,602.4,50.0,87.8,107.5,107.9,56600.0,54034.2,2565.8,4383397.8,4185000.7,198397.2,4467559.1,4265352.7,202206.4
Container,4099,655,283485.6,327454.2,2005.6,2006.2,2007.1,2007.1,1210.1,1538.3,1525.5,1508.6,86.0,107.9,143.3,143.0,18.0,25.2,22.2,22.4,32520.9,30810.9,1710.0,2516722.4,2385106.4,131616.0,2565043.5,2430900.5,134143.0
Chemical tanker,2520,975,77048.9,125579.0,2007.6,2008.6,2008.6,2008.6,1571.1,1894.1,1927.2,1931.1,139.0,174.3,270.5,271.0,30.0,52.3,64.5,64.3,13687.9,11566.9,2121.0,1055059.8,892844.0,162215.8,1075317.0,909986.6,165330.4
Oil tanker,2102,938,311956.6,579746.8,2006.0,2007.3,2006.7,2006.7,1463.8,2289.8,1928.3,1913.2,160.0,232.0,322.3,321.8,46.0,77.1,77.9,78.2,25200.5,21107.8,4092.7,1950682.5,1634077.0,316605.5,1988135.7,1665451.3,322684.4
General cargo,1409,610,34970.7,48837.5,2004.1,2006.1,2007.0,2007.2,1517.4,2345.8,2439.1,2455.4,142.0,221.6,392.9,398.0,36.0,69.7,88.3,89.8,5870.6,5287.8,582.8,451432.4,407360.8,44071.6,460099.9,415182.1,44917.8
Liquefied gas tanker,1146,347,156611.6,146395.0,2007.3,2008.3,2009.5,2009.2,1615.9,2835.4,2869.8,2811.3,127.5,217.7,369.7,361.4,27.0,74.8,55.7,55.9,18151.2,16562.0,1589.1,1238953.9,1118448.5,120505.4,1262741.8,1139922.8,122819.1
Vehicle,331,204,46908.7,15711.1,2006.8,2007.2,2007.3,2007.0,2393.2,2510.3,2557.0,2564.9,154.0,165.3,284.2,285.7,10.0,16.6,20.7,20.7,2911.5,2851.1,60.3,225467.8,220802.3,4665.4,229796.7,225041.8,4755.0
Service - tug,221,121,350.5,319.1,2006.3,2005.8,2008.0,2007.6,921.7,1731.0,1602.3,1615.3,186.0,641.7,1068.3,1072.8,44.0,342.0,360.4,348.7,345.7,288.1,57.6,26056.4,21730.8,4325.7,26556.7,22148.0,4408.7
Cruise,50,36,3037.5,360.8,2000.7,2001.5,2002.0,2000.7,906.2,1118.3,1048.4,1069.4,62.5,76.4,102.3,109.7,13.0,20.1,19.1,20.3,698.7,630.2,68.5,54114.7,48808.1,5306.7,55153.7,49745.2,5408.6
Service - other,47,32,959.1,1106.4,2002.9,2000.8,2001.7,2001.0,982.0,3415.9,3977.2,4141.3,303.0,922.6,1770.5,1947.6,58.0,841.7,476.8,484.0,316.3,261.3,55.0,23984.0,19852.9,4131.0,24444.5,20234.1,4210.4
Offshore,47,34,1198.3,1144.5,2007.1,2007.1,2006.3,2005.2,1428.4,2428.5,1635.5,1575.8,177.0,673.2,347.9,336.0,30.0,289.3,356.4,421.1,227.9,189.0,38.9,16989.3,14056.3,2933.1,17315.5,14326.2,2989.4
Ro-Ro,18,9,1866.3,1032.9,2006.7,2006.4,2011.7,2010.7,2453.9,3269.4,3509.8,3475.6,263.0,324.8,561.9,547.3,20.0,33.3,16.7,17.7,184.1,178.0,6.1,14259.1,13788.3,470.8,14532.9,14053.0,479.9
Miscellaneous - fishing,3,2,0.3,0.3,1977.3,1979.5,1983.8,1984.6,37.3,162.2,122.2,154.8,16.0,18.0,17.0,16.7,28.0,56.8,85.1,90.1,0.3,0.1,0.2,23.5,7.5,16.0,23.9,7.6,16.3
Ferry-RoPax,2,2,52.9,14.5,1996.0,1996.0,2014.6,2015.6,3177.4,3177.4,2100.5,2071.2,208.0,208.0,57.5,48.9,732.0,732.0,1411.8,1451.0,37.1,6.9,30.2,2787.9,521.7,2266.2,2841.4,531.7,2309.7
Ferry-pax only,2,2,7.5,1.2,1988.5,1988.5,1995.9,1995.9,7888.9,7888.9,11243.8,9438.9,513.0,513.0,1007.5,1005.1,46.5,46.5,10.3,10.4,8.0,7.8,0.2,597.5,585.7,11.8,609.0,597.0,12.0
Refrigerated bulk,1,1,34.2,36.1,1980.0,1980.0,1980.0,1980.0,8441.6,8441.6,8441.6,8441.6,704.0,704.0,704.0,704.0,8.0,8.0,8.0,8.0,16.1,16.0,0.2,1231.5,1217.6,13.8,1255.1,1241.0,14.1
