Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,10551,395,16281.4,22215.7,1996.4,2001.7,1996.3,1996.7,378.2,606.0,496.0,501.8,39.0,102.0,152.4,159.8,27.0,120.0,83.3,85.9,4694.3,3540.6,1153.6,358058.3,270911.6,87146.7,364933.0,276113.1,88820.0
Ferry-RoPax,4985,50,10295.5,2780.5,1988.6,1995.5,1991.6,1992.0,190.1,2135.5,418.5,427.6,14.0,247.6,280.2,347.5,10.0,44.2,48.1,51.0,4141.9,3143.2,998.7,315418.8,239874.7,75544.2,321474.9,244480.3,76994.6
Container,3429,201,16233.7,20649.7,2002.1,2005.6,2003.6,2003.6,394.7,337.0,399.9,400.3,36.0,38.7,97.7,100.3,19.0,29.8,34.6,34.3,4640.3,3461.2,1179.1,355028.1,265598.1,89430.0,361844.6,270697.6,91147.0
Oil tanker,3108,101,3756.0,5663.7,2003.8,2003.9,2006.1,2005.6,355.6,463.7,533.6,533.2,43.0,86.2,216.5,236.0,24.0,64.8,99.1,103.9,3872.2,2144.0,1728.2,291845.0,161845.5,129999.4,297448.4,164953.0,132495.4
Chemical tanker,1414,200,4291.4,6844.5,2003.1,2008.5,2007.6,2007.7,395.9,492.1,559.5,557.9,38.0,63.4,132.8,143.1,23.0,42.2,48.7,49.4,1667.8,1056.7,611.1,127193.8,80909.3,46284.5,129635.9,82462.7,47173.2
Ro-Ro,1261,29,3120.4,1980.4,1997.4,2003.8,1990.2,1991.9,202.2,403.2,376.0,351.3,25.0,99.3,121.4,134.8,20.0,245.8,57.6,70.6,1702.6,1030.1,672.5,129275.3,78379.9,50895.4,131757.4,79884.8,51872.6
Bulk carrier,1008,346,10931.2,18984.3,2004.9,2008.1,2008.1,2008.1,397.5,547.4,492.9,487.7,43.0,102.5,241.8,247.3,64.0,122.5,109.0,109.5,1430.2,994.9,435.3,110232.1,76856.0,33376.1,112348.6,78331.6,34016.9
Vehicle,766,34,1268.2,583.0,1983.9,2003.1,1997.3,1995.6,158.9,402.8,330.8,333.7,12.0,29.2,73.5,69.8,8.0,26.4,44.9,39.8,330.7,209.8,120.9,25202.1,16061.7,9140.4,25686.0,16370.1,9315.9
Liquefied gas tanker,496,53,947.9,1042.3,2010.0,2008.7,2008.2,2008.4,434.5,479.1,526.0,524.5,38.0,86.7,161.6,156.6,17.5,35.6,58.8,57.2,609.1,358.4,250.7,46130.9,27224.0,18906.9,47016.6,27746.7,19269.9
Service - tug,327,54,83.0,59.6,1999.1,1999.6,2002.5,2003.1,279.1,998.7,670.4,656.7,60.0,385.8,1301.9,1330.6,66.0,257.7,424.4,373.6,243.0,160.6,82.4,18245.6,12061.5,6184.1,18596.0,12293.1,6302.9
Service - other,309,26,276.9,230.8,2005.0,1998.7,1996.6,1993.7,411.6,974.8,773.7,864.4,39.0,195.1,382.7,309.8,34.0,122.3,186.2,175.5,351.3,212.8,138.5,26413.0,16012.6,10400.5,26920.2,16320.0,10600.2
Ferry-pax only,217,7,118.0,56.9,1997.7,2001.4,2001.9,1993.0,286.6,1486.9,863.5,483.3,13.0,130.9,687.3,213.1,15.0,29.7,80.3,72.1,158.3,117.0,41.3,11889.1,8784.9,3104.2,12117.4,8953.6,3163.8
Offshore,41,2,62.5,61.5,2012.0,2012.5,2012.2,2012.2,212.7,280.8,290.0,290.4,52.0,206.0,177.1,178.4,78.0,39.2,183.9,182.6,42.9,26.9,16.0,3224.7,2025.7,1199.0,3286.6,2064.6,1222.0
Refrigerated bulk,36,15,429.0,519.1,1994.4,1993.6,1987.7,1987.6,242.5,1217.7,1629.1,1744.9,19.0,87.4,458.0,464.7,54.0,185.7,362.5,367.2,204.1,106.8,97.3,15501.7,8150.5,7351.2,15799.4,8307.0,7492.4
Cruise,35,15,338.9,36.5,1999.0,2000.9,2006.5,2005.9,270.7,490.2,273.9,291.2,32.0,246.7,39.6,55.3,10.0,127.0,14.6,18.8,187.2,111.0,76.2,14189.1,8424.8,5764.3,14461.5,8586.6,5874.9
Miscellaneous - fishing,29,5,21.9,9.4,2013.5,1997.8,1995.6,1994.0,388.9,959.7,983.3,962.4,26.0,107.5,400.4,366.7,69.0,325.0,220.0,276.5,30.1,15.6,14.5,2263.4,1178.0,1085.4,2306.9,1200.7,1106.2
