Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Chemical tanker,1048,300,23500.5,38344.0,2007.0,2007.8,2008.6,2008.6,523.5,1808.7,1397.5,1424.5,80.0,248.0,411.2,412.5,47.0,72.3,104.2,100.3,5245.5,4188.5,1057.0,402728.9,322499.0,80229.9,410461.3,328691.0,81770.3
Container,766,194,75544.8,87468.6,2003.3,2006.3,2009.1,2009.0,826.7,2545.3,2586.8,2480.5,82.0,178.4,364.8,362.8,39.0,41.1,54.6,53.5,8950.9,8446.6,504.3,692902.1,654085.7,38816.3,706205.8,666644.2,39561.6
Oil tanker,492,252,58540.6,106080.9,2004.5,2007.6,2010.9,2011.0,940.1,3279.9,3201.7,3246.6,261.0,361.1,471.1,471.5,42.0,133.1,179.4,178.7,6740.0,5693.8,1046.3,520193.5,439445.9,80747.6,530181.2,447883.3,82298.0
Bulk carrier,180,161,11822.7,20485.6,2008.1,2008.0,2008.8,2008.8,628.2,2316.5,2306.4,2318.0,169.0,248.4,492.2,492.5,55.0,122.0,190.4,188.8,1184.9,1110.3,74.6,91706.7,85953.3,5753.3,93467.4,87603.6,5863.8
Liquefied gas tanker,177,37,4932.5,5800.0,2011.6,2010.5,2011.5,2011.4,402.8,1649.4,1508.5,1518.2,37.0,176.2,376.7,381.0,36.0,61.6,57.3,57.2,752.2,641.9,110.3,57860.8,49489.2,8371.7,58971.8,50439.3,8532.4
Ro-Ro,93,28,3460.8,1790.1,2008.3,2007.6,2007.3,2007.6,413.9,796.6,716.3,708.0,28.0,55.7,100.8,98.5,10.0,14.1,12.3,12.0,372.9,353.7,19.1,28880.7,27397.6,1483.1,29435.2,27923.6,1511.6
General cargo,80,38,1091.7,1452.7,1996.7,2003.9,1996.6,1996.6,479.0,1290.9,1174.3,1127.3,58.0,163.1,504.1,494.6,35.0,53.9,49.9,47.7,209.3,190.5,18.9,16081.8,14664.5,1417.4,16390.6,14946.1,1444.6
Refrigerated bulk,76,35,180.5,204.7,1987.2,1990.3,1990.5,1990.4,199.0,558.6,477.0,478.9,34.5,65.7,131.7,133.5,36.5,55.5,55.1,56.6,169.4,95.5,73.8,12797.6,7255.4,5542.2,13043.3,7394.7,5648.6
Vehicle,71,37,3800.0,1209.9,2005.0,2007.3,2005.1,2005.0,396.1,1005.1,992.6,905.0,29.0,74.6,232.1,220.4,9.0,9.0,10.9,10.9,275.2,266.7,8.5,21287.1,20626.3,660.9,21695.9,21022.3,673.6
Miscellaneous - fishing,50,12,56.1,65.9,1976.9,1977.5,1979.3,1979.4,839.9,1299.1,1557.3,1556.0,100.0,226.7,438.8,441.3,5.0,22.9,78.2,80.6,37.4,34.5,2.8,2827.8,2614.6,213.2,2882.1,2664.8,217.3
Service - tug,19,12,9.6,7.3,1991.4,1992.0,2001.5,2003.7,885.7,1504.3,941.2,793.9,116.0,644.2,1147.5,1053.0,239.0,354.0,578.6,505.9,29.2,19.9,9.4,2195.2,1490.6,704.6,2237.4,1519.2,718.2
Offshore,16,9,100.5,176.0,2001.0,1997.1,2001.1,2000.5,511.0,741.5,182.6,176.6,138.0,538.4,2802.4,2922.0,109.0,213.7,40.1,26.6,46.6,33.4,13.3,3501.7,2506.0,995.7,3568.9,2554.2,1014.8
Service - other,15,10,96.3,121.7,2005.7,2005.6,2009.4,2008.3,891.0,2280.5,3236.1,3210.2,253.0,404.0,477.9,483.3,89.0,149.2,30.1,29.8,42.5,34.6,7.9,3208.8,2618.0,590.8,3270.4,2668.3,602.1
Ferry-pax only,3,1,0.6,0.1,1983.0,1983.0,1983.0,1983.0,420.1,420.1,443.6,443.6,51.0,51.0,74.3,74.3,288.0,288.0,640.8,640.8,3.4,0.4,3.0,252.8,29.6,223.2,257.7,30.2,227.5
Cruise,1,1,71.6,6.4,1998.0,1998.0,1998.0,1998.0,2364.9,2364.9,2364.9,2364.9,133.0,133.0,133.0,133.0,19.0,19.0,19.0,19.0,21.8,20.9,0.8,1685.0,1620.1,65.0,1717.4,1651.2,66.2
Ferry-RoPax,1,1,0.0,0.0,2003.0,2003.0,2003.0,2003.0,13.3,13.3,13.3,13.3,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,2.2,1.3,1.0,2.3,1.3,1.0
