Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,1365,293,118516.0,132742.0,2008.5,2008.4,2010.2,2010.2,1140.6,1399.5,1401.2,1393.8,69.0,95.9,136.3,137.5,23.0,26.9,29.4,29.1,13280.7,12674.2,606.5,1028072.9,981251.5,46821.4,1047811.9,1000091.6,47720.4
Bulk carrier,1181,924,147920.7,267554.0,2011.5,2011.3,2010.8,2010.7,960.3,2951.7,3701.2,3807.4,112.0,289.1,748.6,757.7,40.0,71.8,80.0,78.4,11558.2,11182.9,375.4,894789.2,865867.4,28921.8,911969.2,882492.1,29477.1
Chemical tanker,701,304,20062.5,33485.7,2009.0,2010.4,2010.9,2010.9,768.3,1829.2,1658.9,1680.7,72.0,180.0,343.8,344.8,41.0,56.6,72.0,71.7,3540.7,2780.6,760.1,272489.1,214594.6,57894.5,277720.9,218714.8,59006.1
General cargo,290,143,8423.2,12594.0,2008.0,2008.7,2010.1,2010.3,861.0,1965.1,1925.4,1989.9,85.5,202.8,419.4,429.7,39.0,64.3,80.7,82.5,1118.8,1023.5,95.3,86005.5,78838.2,7167.2,87656.8,80351.9,7304.9
Vehicle,228,153,30165.6,10286.6,2007.4,2007.5,2007.4,2007.2,777.6,2208.3,2232.7,2263.3,57.0,146.8,439.4,443.6,11.0,19.0,35.0,34.6,1734.2,1677.4,56.8,134326.1,129929.0,4397.1,136905.1,132423.6,4481.5
Oil tanker,175,103,13539.2,23760.4,2006.7,2007.1,2007.1,2007.2,1390.1,2160.5,2077.4,2082.8,167.0,226.9,383.3,384.4,52.0,108.0,113.5,113.5,2384.6,1716.1,668.5,184234.0,132710.5,51523.5,187771.3,135258.6,52512.7
Ferry-pax only,133,2,19.3,1.6,2009.8,1999.5,2008.1,2005.8,274.1,330.3,280.4,289.7,13.0,30.0,17.3,20.8,9.0,4.5,8.2,7.2,18.3,16.5,1.8,1377.5,1238.8,138.7,1403.9,1262.6,141.4
Service - tug,92,30,21.0,14.8,1994.1,1993.1,2001.9,2003.3,241.3,702.5,427.1,402.0,85.5,271.1,359.2,311.8,6.5,277.8,287.4,278.9,46.3,36.7,9.6,3476.2,2756.9,719.3,3542.9,2809.8,733.1
Refrigerated bulk,91,39,4133.7,4621.6,1997.2,1995.7,1997.6,1997.5,5549.0,4364.8,3894.3,3979.6,345.0,496.6,762.8,767.4,22.0,76.1,46.4,46.5,1890.5,1729.6,160.8,143980.7,131902.1,12078.5,146745.1,134434.7,12310.4
Liquefied gas tanker,70,49,50925.8,42436.0,2008.9,2009.0,2009.4,2009.5,8571.3,7672.3,9774.4,9475.7,536.5,510.8,947.9,959.6,28.0,36.6,35.4,34.5,6665.4,6565.7,99.7,400895.4,393899.2,6996.2,408592.6,401462.0,7130.5
Miscellaneous - fishing,42,37,639.9,550.5,1996.9,1997.3,2005.4,2006.2,8476.1,15589.7,6750.0,8313.9,1179.5,2244.0,4938.4,4704.4,74.5,377.0,618.5,735.5,539.7,490.7,49.0,40571.8,36851.3,3720.6,41350.8,37558.8,3792.0
Cruise,39,32,1532.7,176.1,1994.2,1995.1,1998.9,1996.9,568.5,802.8,963.6,987.7,42.0,53.5,76.6,81.4,9.0,12.5,14.9,15.7,389.3,361.9,27.4,30118.3,28002.6,2115.7,30696.6,28540.3,2156.3
Service - other,16,12,198.5,233.2,1998.1,1999.3,1998.5,2000.3,280.6,890.0,680.2,668.7,76.0,474.2,756.4,705.1,109.0,383.9,177.6,212.0,55.8,45.5,10.3,4225.7,3453.4,772.4,4306.9,3519.7,787.2
Offshore,13,5,7.8,14.7,1980.4,1985.4,1979.8,1978.4,175.5,259.1,630.5,759.9,37.0,55.1,540.6,590.1,19.0,14.1,28.7,27.2,21.6,19.8,1.8,1622.0,1483.4,138.5,1653.1,1511.9,141.2
Ferry-RoPax,9,3,26.4,2.3,2006.1,2006.3,2006.9,2006.8,87.6,151.6,511.2,454.8,23.0,20.8,82.4,83.9,13.0,33.7,12.8,16.1,10.7,8.6,2.0,815.0,663.0,152.0,830.7,675.8,154.9
Other liquids tankers,1,1,27.3,38.8,2016.0,2016.0,2016.0,2016.0,988.8,988.8,988.8,988.8,91.0,91.0,91.0,91.0,241.0,241.0,241.0,241.0,6.1,1.9,4.2,474.3,145.9,328.3,483.4,148.7,334.6
