Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Oil tanker,5242,173,16426.3,28301.0,1997.6,2000.0,2002.0,2001.8,357.0,1001.6,713.4,704.9,35.0,104.2,285.1,274.6,19.0,59.0,101.4,102.2,7110.1,4385.6,2724.5,539620.5,333156.2,206464.3,549981.2,339552.8,210428.4
Liquefied gas tanker,2462,56,1976.2,2204.6,1987.5,1989.3,1986.6,1986.8,376.2,969.9,746.3,747.0,32.0,113.5,279.1,276.7,17.0,76.4,119.5,115.7,2744.3,1604.9,1139.3,206777.9,120986.6,85791.3,210748.0,123309.6,87438.5
Container,2150,216,6761.9,8097.9,2008.1,2007.0,2005.8,2005.7,76.9,254.4,196.7,188.5,11.0,32.4,216.2,193.4,14.0,22.7,99.0,89.4,1786.1,1080.8,705.3,135939.1,82506.4,53432.7,138549.2,84090.5,54458.6
Chemical tanker,1231,205,2799.7,4295.0,2002.2,2006.3,2004.6,2004.1,247.9,317.1,457.4,449.1,26.0,68.4,245.9,234.2,24.0,34.4,92.2,93.7,1583.2,912.8,670.3,120292.2,69515.8,50776.4,122601.8,70850.5,51751.3
General cargo,1228,288,2527.7,3557.6,2003.0,2006.1,2003.8,2003.7,243.3,421.0,449.1,445.2,29.0,52.0,191.5,180.9,30.0,74.0,159.0,161.2,739.1,443.4,295.7,55959.4,33648.2,22311.2,57033.8,34294.3,22739.6
Service - tug,645,113,895.5,775.7,2009.1,2009.2,2010.3,2010.1,391.9,956.9,1013.7,1063.5,87.0,257.3,942.1,938.4,32.0,166.8,388.0,392.6,626.0,459.5,166.5,47004.6,34500.1,12504.5,47907.1,35162.5,12744.6
Bulk carrier,385,265,4757.9,7991.7,2009.0,2008.9,2009.0,2009.0,288.1,584.5,602.1,606.9,41.0,78.6,194.8,199.9,70.0,126.6,139.0,137.6,534.9,323.5,211.4,41242.7,24987.9,16254.8,42034.6,25467.6,16566.9
Offshore,237,32,185.6,105.9,2011.3,2009.2,2008.7,2008.0,776.0,2918.0,761.8,600.2,99.0,306.3,739.8,645.3,33.0,234.5,266.5,214.6,417.5,270.8,146.6,31343.0,20333.6,11009.4,31944.8,20724.0,11220.8
Refrigerated bulk,33,25,330.9,406.3,1986.4,1987.0,1985.1,1985.2,1036.8,2702.5,2225.1,2301.3,139.0,423.1,1160.6,1177.7,213.0,807.1,1125.1,1100.1,626.2,242.9,383.2,47207.2,18415.1,28792.0,48113.6,18768.7,29344.9
Cruise,25,16,285.1,32.7,2000.8,2002.2,2002.9,2002.9,225.5,254.1,214.2,212.1,15.0,19.8,19.7,20.5,9.0,17.2,16.2,16.1,86.4,58.7,27.6,6674.7,4536.3,2138.4,6802.9,4623.4,2179.5
Service - other,24,6,91.3,23.9,2000.1,1991.8,2005.0,2002.0,1250.4,793.4,1657.2,819.4,100.5,94.4,251.7,310.0,68.0,104.2,2595.6,1731.3,82.4,32.7,49.7,6185.1,2454.6,3730.5,6303.9,2501.7,3802.2
Miscellaneous - fishing,13,5,41.3,25.1,1994.5,1996.8,1991.1,1991.4,1014.8,5877.3,2344.5,1912.9,38.0,66.6,443.8,454.1,64.0,1219.4,2165.6,2069.3,44.5,16.8,27.7,3368.1,1287.5,2080.6,3432.8,1312.2,2120.6
Vehicle,6,6,327.1,102.2,2006.7,2006.7,2002.1,2002.3,912.0,1332.1,1240.1,1222.6,67.5,102.2,204.9,201.0,15.0,39.5,21.1,21.8,22.3,19.6,2.6,1717.7,1518.1,199.7,1750.7,1547.2,203.5
Ferry-RoPax,4,3,64.5,39.4,1983.2,1983.0,1984.3,1984.9,9409.5,12944.7,3308.3,7717.9,156.5,1047.2,3454.8,2799.5,576.0,2619.7,3084.5,4203.3,84.8,39.5,45.3,6370.4,2969.3,3401.0,6492.7,3026.4,3466.3
Ferry-pax only,4,2,8.4,0.7,1992.0,1992.0,1992.0,1992.0,3515.7,3515.7,4188.7,4188.7,31.5,31.5,50.0,50.0,208.0,208.0,235.7,235.7,9.8,1.8,8.0,736.4,136.4,600.0,750.5,139.0,611.5
