Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,5502,292,21464.4,26205.1,2004.1,2005.8,2005.1,2004.9,162.6,268.5,214.7,214.7,13.0,40.3,58.1,63.7,9.0,13.9,19.0,19.2,4629.8,3595.5,1034.3,355777.0,277027.1,78749.9,362608.0,282346.1,80261.9
Oil tanker,1939,256,40379.1,69265.6,1998.9,2001.0,1999.5,1999.5,421.5,2095.2,897.8,898.6,45.0,331.7,1153.9,1162.4,44.0,89.4,266.1,275.8,8463.5,5314.3,3149.2,649065.8,407223.8,241842.0,661527.9,415042.5,246485.3
General cargo,1489,269,3220.9,4630.5,2003.6,2004.9,2003.0,2003.1,191.7,639.2,401.8,411.3,18.0,153.4,598.5,636.5,21.0,71.1,112.4,118.0,884.0,648.4,235.6,67337.4,49521.8,17815.5,68630.2,50472.6,18157.6
Bulk carrier,1429,428,16992.4,30066.3,2000.8,2009.2,2005.8,2006.1,215.7,388.1,450.9,447.6,21.0,51.3,220.5,217.5,43.0,92.3,83.1,84.0,1782.9,1177.2,605.7,137678.7,90991.4,46687.3,140322.1,92738.4,47583.7
Chemical tanker,1216,349,11588.6,18657.6,2003.7,2005.6,1998.5,1998.4,284.5,719.4,1091.2,1104.0,24.0,93.3,964.4,976.0,28.5,45.8,166.3,164.7,3829.4,2686.6,1142.7,291963.1,204987.0,86976.0,297568.8,208922.8,88646.0
Ferry-RoPax,351,5,1722.2,307.5,1992.4,2001.2,2000.1,1996.7,195.9,393.4,587.6,427.1,7.0,48.0,219.3,155.8,13.0,78.3,66.1,60.3,618.5,399.7,218.8,46713.2,30126.5,16586.7,47610.1,30704.9,16905.1
Service - other,141,21,813.4,1128.1,1997.0,1996.5,1996.8,1997.7,353.5,1313.0,823.9,916.7,62.0,187.1,705.7,704.0,66.0,207.4,164.8,162.5,201.7,138.8,62.9,15296.4,10544.8,4751.6,15590.1,10747.3,4842.8
Liquefied gas tanker,111,68,2101.3,1729.6,2005.9,2006.2,2008.2,2007.9,292.6,539.5,989.2,765.4,18.0,40.9,435.6,359.5,23.0,31.8,26.5,26.9,313.6,247.6,66.1,21314.4,16343.9,4970.5,21723.6,16657.7,5065.9
Offshore,46,6,40.9,57.4,1989.3,2001.3,2002.9,1997.9,322.7,606.0,802.2,730.2,19.5,182.5,368.1,294.5,88.5,422.2,334.9,363.3,72.2,31.6,40.6,5441.6,2383.2,3058.4,5546.0,2429.0,3117.1
Service - tug,37,11,34.0,29.8,2008.0,2000.9,2001.9,1997.3,334.2,2028.2,1115.3,1185.6,67.0,812.4,1906.8,2269.0,90.0,627.0,318.7,216.8,73.7,57.5,16.2,5532.2,4314.8,1217.4,5638.4,4397.7,1240.7
Miscellaneous - fishing,23,7,76.2,55.1,1991.7,1994.4,1990.7,1992.8,767.5,2946.7,2804.5,3362.8,115.0,474.8,1109.8,1166.5,92.0,152.3,160.1,137.0,43.5,33.5,10.0,3264.7,2515.6,749.0,3327.4,2563.9,763.4
Cruise,15,12,445.3,53.9,1999.7,1999.9,1998.0,1997.7,246.5,487.1,463.8,484.8,16.0,20.2,20.6,21.2,9.0,29.1,66.4,71.5,101.4,62.8,38.6,7853.8,4867.7,2986.1,8004.6,4961.1,3043.4
Other liquids tankers,8,1,26.6,26.6,2002.0,2002.0,2002.0,2002.0,577.9,577.9,1782.3,1782.3,13.5,13.5,175.5,175.5,121.0,121.0,1393.5,1393.5,50.1,17.4,32.7,3879.1,1347.9,2531.2,3953.6,1373.8,2579.8
Ro-Ro,3,3,22.1,9.6,1997.7,1997.7,1999.5,1998.8,263.4,461.0,633.6,425.8,28.0,33.7,60.0,54.4,63.0,50.3,84.7,80.3,6.0,4.4,1.7,467.5,337.5,130.0,476.5,344.0,132.5
Refrigerated bulk,2,1,46.8,47.6,1994.0,1994.0,1994.0,1994.0,9016.5,9016.5,9016.5,9016.5,1035.0,1035.0,2034.9,2034.9,77.5,77.5,76.0,76.0,37.8,35.7,2.1,2869.4,2713.2,156.2,2924.5,2765.3,159.2
Vehicle,2,2,25.6,8.7,2011.0,2011.0,2008.2,2007.6,208.5,208.5,193.0,210.2,16.0,16.0,20.2,21.2,13.0,13.0,11.6,11.3,1.6,1.4,0.2,123.8,105.9,17.9,126.2,107.9,18.3
