Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,121,12,497.3,554.1,2008.6,2006.2,2005.1,2004.7,529.6,803.9,707.3,720.6,48.0,88.5,128.6,107.8,14.0,16.9,13.4,11.9,118.9,110.9,8.0,9120.6,8519.7,600.9,9295.7,8683.3,612.5
Container,88,11,1095.0,1400.6,2007.0,2008.1,2009.4,2009.3,698.8,925.3,957.7,963.5,61.5,69.5,88.3,89.0,15.5,17.0,17.3,17.2,232.7,218.5,14.2,17894.1,16825.8,1068.4,18237.7,17148.8,1088.9
Ro-Ro,36,2,12.6,10.7,2017.0,2015.5,2015.9,2016.1,317.4,796.5,707.3,684.9,39.0,73.5,321.3,326.1,124.5,150.5,207.7,204.5,70.4,22.2,48.2,5284.3,1667.3,3617.0,5385.8,1699.3,3686.5
Cruise,23,19,1896.4,193.4,2001.9,2001.6,2004.5,2004.3,1111.2,1186.3,1509.1,1492.7,65.0,72.7,104.0,104.8,8.0,8.1,7.6,7.7,465.3,452.8,12.5,35955.8,34991.7,964.1,36646.1,35663.5,982.6
Miscellaneous - fishing,15,9,400.7,397.7,1994.1,1992.7,1994.5,1995.6,10620.8,12832.0,13012.7,13931.5,1273.0,1524.1,2082.2,2140.8,319.0,432.8,617.3,605.9,161.5,130.6,31.0,12127.1,9802.9,2324.2,12360.0,9991.1,2368.9
Chemical tanker,13,10,307.3,509.8,2012.5,2011.9,2012.6,2012.6,692.3,748.1,787.9,788.2,65.0,79.8,82.6,82.8,28.0,30.4,31.2,31.3,42.0,32.3,9.7,3255.6,2501.5,754.1,3318.1,2549.5,768.5
Liquefied gas tanker,11,2,30.4,30.2,2011.4,2008.5,2011.3,2011.3,670.4,713.9,562.0,562.5,63.0,68.5,73.4,73.4,9.0,8.0,12.0,12.0,9.8,7.8,2.0,749.9,595.9,154.0,764.3,607.3,157.0
Service - tug,7,1,1.2,0.8,2001.0,2001.0,2001.0,2001.0,436.8,436.8,684.3,684.3,146.0,146.0,379.6,379.6,259.0,259.0,293.1,293.1,4.4,2.6,1.8,327.9,195.5,132.4,334.2,199.3,134.9
Service - other,6,6,103.2,63.7,1996.3,1996.3,1994.3,1994.6,2471.7,2457.4,2406.2,2190.7,264.5,526.0,446.8,475.0,62.0,104.7,85.7,97.1,32.8,31.7,1.1,2498.5,2415.3,83.2,2546.5,2461.7,84.8
Oil tanker,3,2,84.2,130.3,2006.7,2006.5,2006.5,2006.5,703.4,1071.8,948.1,948.4,102.0,107.2,107.5,107.5,28.0,26.8,26.7,26.7,13.5,10.0,3.5,1045.7,775.4,270.3,1065.7,790.3,275.4
Refrigerated bulk,1,1,29.6,40.5,1994.0,1994.0,1994.0,1994.0,5416.3,5416.3,5416.3,5416.3,351.0,351.0,351.0,351.0,40.0,40.0,40.0,40.0,15.8,15.2,0.6,1214.6,1166.8,47.7,1237.9,1189.2,48.6
Ferry-RoPax,1,1,0.3,0.1,1998.0,1998.0,1998.0,1998.0,344.1,344.1,344.1,344.1,43.0,43.0,43.0,43.0,28.0,28.0,28.0,28.0,0.5,0.4,0.1,35.7,26.4,9.3,36.4,26.9,9.4
Bulk carrier,1,1,116.0,183.9,2015.0,2015.0,2015.0,2015.0,4715.2,4715.2,4715.2,4715.2,389.0,389.0,389.0,389.0,11.0,11.0,11.0,11.0,9.3,9.3,0.0,721.2,718.7,2.5,735.0,732.5,2.6
