Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Fiji,33,11,113.9,130.2,1999.7,1997.0,2000.3,2001.2,649.9,3383.5,1076.7,1006.7,65.0,427.2,567.0,533.5,37.0,59.8,45.6,42.0,47.7,41.8,5.9,3612.7,3166.3,446.4,3682.1,3227.1,455.0
Micronesia (Federated States of),18,17,330.0,366.0,2000.1,2001.1,2001.0,1999.8,5072.9,8550.5,6884.9,6903.0,695.0,950.5,1600.8,1671.6,108.0,201.0,203.5,214.2,144.0,102.5,41.5,10887.8,7772.3,3115.5,11096.9,7921.6,3175.3
Marshall Islands,16,14,196.9,180.3,2001.1,2002.1,1998.4,1998.6,5652.0,6641.9,5499.5,6093.4,727.5,912.0,1404.2,1480.8,104.0,202.8,291.6,307.2,60.8,47.1,13.8,4577.6,3544.7,1032.9,4665.5,3612.7,1052.8
Kiribati,15,13,184.2,199.8,1991.4,1992.8,1993.8,1995.7,5033.0,7617.2,6027.6,5797.3,403.0,733.1,1125.9,1262.7,106.0,286.9,270.4,145.5,146.1,112.5,33.7,10976.3,8449.5,2526.8,11187.0,8611.7,2575.3
Thailand,13,11,297.3,352.5,1990.2,1989.8,1990.3,1990.0,5304.3,5388.4,5389.2,5390.5,417.0,441.6,440.6,440.4,487.0,454.8,483.4,482.9,222.6,140.4,82.1,16901.8,10735.2,6166.7,17226.3,10941.3,6285.1
Solomon Islands,11,9,190.3,217.6,2001.8,1999.1,2003.7,2003.9,6175.2,8578.2,5983.5,5871.1,555.0,706.9,739.1,981.0,119.0,364.1,762.3,622.9,86.2,51.2,35.1,6496.5,3860.3,2636.2,6621.3,3934.4,2686.9
Papua New Guinea,9,9,113.3,114.7,1995.1,1995.1,2000.6,1999.2,1974.3,6533.8,4229.5,3613.6,142.0,605.6,974.0,875.0,248.0,434.4,434.7,433.0,96.5,54.3,42.2,7269.4,4102.1,3167.3,7409.0,4180.8,3228.1
Wallis and Futuna,9,2,35.5,40.4,2004.7,2010.5,2004.4,2004.4,393.4,395.5,707.8,705.1,39.0,38.8,172.4,171.8,19.0,25.5,23.3,23.3,12.4,11.0,1.4,952.5,848.9,103.7,970.8,865.2,105.7
"Korea, Republic of",8,8,183.5,209.2,1995.1,1995.1,1998.2,1998.0,4826.6,6861.9,7309.7,7283.2,449.0,561.9,766.9,764.8,203.5,265.9,323.8,320.5,90.5,69.3,21.2,6868.4,5278.2,1590.2,7000.3,5379.5,1620.8
American Samoa,3,2,10.9,10.7,2011.0,2009.0,2005.1,2003.9,703.6,2298.8,2181.9,2896.5,58.0,438.5,688.9,762.4,78.0,90.5,108.5,113.8,3.1,2.7,0.4,231.1,201.6,29.6,235.6,205.5,30.1
Ecuador,2,2,46.3,53.3,1984.5,1984.5,1991.5,1991.9,4385.3,4385.3,5586.1,5901.8,450.5,450.5,639.5,650.2,644.5,644.5,1077.4,1102.0,40.8,20.6,20.2,3088.3,1574.5,1513.8,3147.6,1604.7,1542.8
Philippines,2,2,30.1,38.6,1987.0,1987.0,1987.8,1988.2,4324.1,4324.1,4363.7,4386.8,619.0,619.0,619.6,619.9,239.5,239.5,279.4,295.3,29.0,22.5,6.5,2195.5,1706.2,489.3,2237.7,1739.0,498.7
Mexico,2,2,50.5,60.4,1986.0,1986.0,1986.2,1986.3,6495.3,6495.3,6001.8,5951.3,830.0,830.0,804.4,787.5,156.0,156.0,159.5,161.8,41.4,36.3,5.1,3144.7,2762.0,382.7,3205.1,2815.1,390.0
Japan,2,2,70.2,78.1,1997.5,1997.5,1997.6,1997.6,8542.2,8542.2,8448.4,8429.8,722.5,722.5,730.3,728.0,182.0,182.0,189.2,187.1,32.1,27.1,5.0,2439.8,2064.4,375.3,2486.6,2104.1,382.6
Panama,1,1,21.6,16.2,1979.0,1979.0,1979.0,1979.0,11954.6,11954.6,11954.6,11954.6,1385.0,1385.0,1385.0,1385.0,200.0,200.0,200.0,200.0,15.5,15.1,0.4,1163.3,1136.4,26.9,1185.6,1158.2,27.4
